id,career,engJmNm,hist,implNm,instiNm,jmNm,job,mdobligFldNm,seriesNm,summary,trend
1000,None,- 일반건설회사와 전문건설회사 감리전문회사에 취업할 수 있으며 이밖에 건축구조관   련 연구소 및 유관기관으로 진출할 수 있다. - 건축구조기술자의 인력수요는 증가할 것이다.  건설경기 활성화 대책으로 공공건설   의 투자확대 주택자금의 지원 세제지원 국민 임대주택의 건설 및 각종 법령의 개   정 등 정부의 정책적 지원과 국내 대형 건설사들의 경영상태가 부채 비율 감소 자기   자본비율 증가 등의 영향으로 건전해지고 향후 부동산 경기회복이 본격화될 것으로    보고 아파트공급량을 대폭 확대할 계획이며 해외건설공사 수주현장(99. 8. 31 현재)   을 보면 중동 및 아시아 지역을 중심으로 전년동기대비(금액) 313.6 증가하는 등 증   가요인이 많이 작용하고 있으며 특히 국내외 천재지변으로 인한 건축구조분야의 중요   성이 증대되어 건출구조기술자의 인력 수요는 증가할 것이다.,Professional Engineer Architectural Structures,’74.10.16. 대통령령 제7283호’91.10.31. 대통령령 제13494호현재건축기술사(건축구조) 건축구조기술사건축구조기술사,한국산업인력공단,국토교통부,건축구조기술사,건축구조 분야에 관한 고도의 전문지식과 실무경험에 입각한 계획 연구 설계 분석  시험 운영 시공 평가 또는 이에 관한 지도 감리 등의 기술업무 수행.,건축,기술사,건축의 계획 및 설계에서 시공 관리에 이르는 전과정에 관한 공학적 지식과 기술 그리 고 풍부한 실무경험을 갖춘 전문인력을 양성하고자 자격제도 제정.,None
1001,None,- 일반건설회사와 전문건설회사 감리전문회사에 취업할 수 있으며  그밖에 주택건설회   사 건축설계회사 엔지니어링회사 기술사사무소 안전진단전문기관 건설품질검사   전문기관 측량회사 유지관리회사 건설교육기관 등으로 진출할 수 있다. - 정부의 주택자금 및 세제지원 주택거래 및 공급에 대한 규제완화 등 건설 및  부동   산경기 활성화 정책의 시행과 건설경기 선행지표인 건축허가 면적과 건설 수주도 외   환위기 이후 처음으로 반전되는 등 건설 및 부동산경기가 회복되고 있으며 건축물규   모의 대형화에 따른 건축설비기술사 자격취득자에 대한 인력 수요는 증가할 것이다.,Professional Engineer Building Mechanical Facilities,’83.12.20. 대통령령 제11281호’91.10.31. 대통령령 제13494호현재건축기술사(건축기계설비)건축기계설비기술사건축기계설비기술사,한국산업인력공단,국토교통부,건축기계설비기술사,건축설비분야에 관한 고도의 전문지식과 실무경험에 입각한 계획 연구 설계 분석 시 험 운영 시공 평가 또는 이에 관한 지도 감리 등의 기술업무 수행.	,건축,기술사,건축설비는 우리 인체와 비교하여 건물의 핏줄과 신경계와 같은 매우 중요한 분야로서  실내외의 환경이 인간과 기타 물체에 적합해지도록 위생설비 냉난방설비 환기설비  공기조화설비 방재설비 및 기타설비의 계획 및 설계에서 시공 관리에 이르는 전과정 에 관한 공학적 지식과 기술 그리고 풍부한 실무경험을 갖춘 전문인력을 양성하고자  자격 제도 제정.	,- 건축기계설비와 관련된 실무경험 전문지식 및 응용능력 - 기술사로서의 지도감리·경영관리능력 자질 및 품위
1002,None,None,None,None,한국산업인력공단,국토교통부,건축기술사(건축설비),None,건축,기술사,None,None
1003,None,- 일반건설회사와 전문건설회사 감리전문회사에 취업할 수 있으며 이밖에 건축구조관   련 연구소 및 유관기관으로 진출할 수 있다. - 건축시공기술사의 인력수요는 증가할 것이다.  건설경기 활성화 대책에 공공건설의    투자확대 주택자금의 지원 세제지원 국민임대주택의 건설 및 각종 법령의 개정    등 정부의 정책적 지원과 국내 대형 건설사들의 경영상태가 부채비율 감소 자기자본   비율 증가 등의 영향으로 건전해지고 향후 부동산 경기회복이 본격화될 것으로 보고    아파트공급량을 대폭 확대할 계획이며 해외건설공사 수주현황(99. 8. 31 현재)을 보   면 중동 및 아시아 지역을 중심으로 전년동기 대비(금액) 313.6% 증가하는 등 증가요   인이 작용하여 건축시공기술사의 인력수요는 증가할 것이다.,Professional Engineer Architectural Execution,’74.10.16. 대통령령 제7283호’91.10.31. 대통령령 제13494호 현재건축기술사(건축시공)건축시공기술사건축시공기술사,한국산업인력공단,국토교통부,건축시공기술사,건축시공 분야에 관한 고도의 전문지식과 실무경험에 입각한 계획 연구 설계 분석  시험 운영 시공 평가 또는 이에 관한 지도 감리 등의 기술업무 수행.,건축,기술사,건축의 계획 및 설계에서 시공 관리에 이르는 전과정에 관한 공학적 지식과 기술 그리 고 풍부한 실무경험을 갖춘 전문인력을 양성하고자 자격제도 제정.,None
1004,None,- 일반건설회사와 전문건설회사 감리전문회사의 취업할 수 있으며 그밖에 주택건설회   사 건축설계회사 엔지니어링회사 기술사사무소 안전진단전문기관 건설품질검사   전문기관 측량회사 우지관리회사 건설교육기관 등으로 진출할 수 있다. - 부실공사 및 건설재해를 예방하기 위해서는 직접적인 안전관리뿐만 아니라 건설과정   에서의 체계적인 관리와 개선이 필요하다.  특히 건설공사의 품질확보를 위하여 건축   품질시험기술사의 양성이 무엇보다 중요하다.  1999년 11월 현재 건설교통부 품질검   사전문기관의 등록현황을 보면 서울지방국토관리청 등 50개 국·공립시험기관과 한국   건설시험연구원 등 47개 등록기관을 합하여 총 95개 품질전문검사기관이 등록되어 있   으나 건축분야의 경우 민간 및 정부투자기관(국·공립시험기간 제외) 8개소와 종합   분야13개소를 합하여 총 21개 기관에 불과해 향후 정부의 부동산 경기 활성화정책에    따른 건축경기의 회복추세에 비하여 많이 부족한 실정이다.  또한 「건설기술관리법   시행령(제49조)」에 종합분야에 토목·건축품질시험기술사 등 7인 건축분야에 건축   품질시험기술사 등 3인이 품질검사전문기관의 분야별 등록기준으로 명시되어 있는    등 증가요인으로 토목품질시험기술사의 인력수요는 증가할 것이다.,Professional Engineer Construction Quality Testing,’91.10.31. 대통령령 제13494호 건축품질시험기술사 신설,한국산업인력공단,국토교통부,건축품질시험기술사,건축품질시험 분야에 관한 고도의 전문지식과 실무경험에 입각한 계획 연구 설계 분 석 시험 운영 시공 평가 또는 이에 관한 지도 감리 등의 기술업무 수행.,건축,기술사,건축의 계획 및 설계에서 시공 관리에 이르는 전과정에 관한 공학적 지식과 기술 그리 고 풍부한 실무경험을 갖춘 전문인력을 양성하고자 자격제도 제정.,- 해당 기술자격 종목과 관련된 실무경험 - 건축품질시험에 대한 전문지식 및 응용능력 - 건축품질시험에 대한 일반지식 - 기술사로서의 경영관리 미치 지도감리 등에 관한 능력 - 기술사로서의 자질 및 품위
1005,None,○ 정부산하기관 및 연구소 가행중인 광산 광해방지사업 전문사업체 국내외 자원개발 및 컨설팅 관련업체 등 ○ 친환경 자원개발 정책에 따라 전문인력의 지속적인 수요 증가 예상,Professional Engineer Mining Hazard Prevention and Reclamation,’04.12.31. 노동부령 제217호 광해방지기술사 신설,한국산업인력공단,산업통상자원부,광해방지기술사,○ 광업활동에 의해 발생되거나 우려되는 광산배수 광산폐기물 지반침하 먼지날림·소음진동 및 훼손산림 등에 대한 예측조사·분석 복구 및 사후관리에 대한 종합적인 업무 수행,광해방지,기술사,○ 자원개발 전반 과정에서 발생될 수 있는 각종 광해요인을 제거 및 복원하는 업무로 광산 피해의 방지 및 복구에 관한법률에 동 자격취득자를 선임하도록 되어 있는 자격 종목,○ 광산일반 광해조사 평가 처리 복구 및 관리 등 광해방지에 관한 사항
1006,None,- 제철소 금속제련업체 제강업체 금속가공공장에서 활동하거나 기계 전기 원자력    전자 조선 항공 등의 기업체에서 기술자문과 기술지도를 담당할 수 있다.  또는 금   속가공에 대한 사무소·공장을 직접 운영하기도 한다. - 금속재료는 공업분야에서 가장 널리 사용되는 기초소재로 제조업의 주된 원자재로 사   용되어 왔으며 이러한 금속재료에 대한 수요는 앞으로도 계속될 것으로 보인다.  또   한 선진국형 산업구조로의 이행에 금속산업은 중추적인 역할을 한다.  따라서 국제경   쟁력확보를 위해서는 무엇보다 기술개발과 그에 따른 연구인력의 확보가 우선시 될    전망이어서 금속가공기술과 관련된 전문지식과 기술을 소지한 인력의 역할은 중요성   을 더할 것으로 기대된다.  하지만 우리나라의 경우 금속산업이 중공업과 함께 성장   하였기 때문에 이미 상당수의 금속산업관련 기술자가 공급되어 온 상태여서 기술개발   과 관련한 급격한 인력수요는 예상되지 않는다.  하지만 다양한 금속재료나 합금재료   의 특성에 따른 주조방법이나 용접방법 등 금속가공방법을 개발하는 최고 전문기술자   인 기술사의 역할에 따라 금속산업의 발전가능성여부가 좌우된다고 할 수 있는 만큼    이들의 역할이 중요하다고 할 수 있다.,Professional Engineer Metal Working,’74.10.16. 대통령령 제7283호’91.10.31. 대통령령 제13494호현재금속기술사(금속가공)금속가공기술사금속가공기술사,한국산업인력공단,과학기술정보통신부,금속가공기술사,주조 단조 압연 등 금속가공에 관한 고도의 전문지식과 실무경험을 바탕으로 연구개 발 및 설계 시험·분석담당.  또는 이와 관련된 기술지도 및 기술자문 수행.,금속.재료,기술사,금속산업은 중화학공업의 기반을 이루는 것으로 전 산업에서 큰 비중을 차지하고 있어  금속재료의 여러 가지 특성을 이용하여 가공할 수 있는 전문기술자의 양성이 시급하여  자격제도 제정.,- 금속가공과 관련된 실무경험 일반지식 전문지식 및 응용능력 - 기술사로서의 지도감리·경여관리능력 자질 및 품위
1007,None,- 제철소 제련소 금속기계제조업체에 진출하거나 조선·자동차·항공·전기전자·방   위산업체 등의 금속재료 관련 부서에 기술자문 및 지도업무 담당.  또는 직접 제조업   체·사무소를 운영하거나 금속관련 연구소에 연구원으로 종사하면서 연구개발을 담당   하기도 한다. - 최근 산업구조의 고도화·제품의 고급화추세에 따라 첨단산업 발전을 위한 핵심소재   를 생산하는 산업으로서 신소재산업의 중요성이 점차 확대되고 있는데 국내 신소재산   업은 1990년대 들어 연평균 19% 정도의 높은 성장을 기록하고 있다.  신금속 분야는    신소재산업분야에서도 유망한 분야로 그 중에서도 특히 수요산업의 경량화 내진·내   열·성형성 등의 요구가 계속 높아지면서 고강도·고성형성 강판 극저온용 구조재   료 금속박소재 등이 유망하므로 관련분야의 연구개발을 담당할 인력의 수요가 증가   할 것으로 예상된다.,Professional Engineer Metal Material,’74.10.16. 대통령령 제7283호’91.10.31. 대통령령 제13494호현재금속기술사(금속재료)금속재료기술사금속재료기술사,한국산업인력공단,산업통상자원부,금속재료기술사,철 비철재료를 포함돼 기타 금속재료의 특성과 이용에 관한 고도의 전문지식과 실무 경험을 바탕으로 금속재료 설계 및 제조·응용 제품 및 소재개발 시험분석을 담당하 면서 전체 공정을 지도. 또한 이론과 경력을 근거로 기술자문 수행.,금속.재료,기술사,금속재료는 공업분야에서 가장 널리 사용되는 기초소재로서 우리 나라의 경우 경제개발 의 중추역할을 하는 기초산업은 제철 제강공업에서 없어서는 안될 소재이다.  그러므 로 현장에서 필요한 금속재료전반에 관한 고도의 전문지식과 실무경험을 쌓은 유능한  전문 기술인력을 양성하고자 자격제도 신설.,- 금속재료와 관련된 실무경험 일반지식 전문지식 및 응용능력 - 기술사로서의 경영관리·지도감리능력 자질 및 품위
1008,None,None,Professional Engineer  Metallurgy,’74.10.16. 대통령령 제7283호’91.10.31. 대통령령 제13494호현재금속기술사(금속제련)금속제련기술사금속제련기술사금속기술사(철야금)철야금기술사금속기술사(비철야금)비철야금기술사,한국산업인력공단,과학기술정보통신부,금속제련기술사,None,금속.재료,기술사,국내산업에서 제철 제강공업의 비중을 감안할 때 전문지식과 숙련기능을 겸비한 최고의 기술자를 양성하여 철강 및 합금강의 제조 금속제련방법 등의 기술개발을 하는 것은 매우 중요한 일이다. 이에 자격제도를 제정하여 공인된 전문기술인력을양성하는데 그목적이 있음,None
1009,None,None,Professional Engineer Nonferrous Metallurgy,비철야금기술사는 철야금기술사 종목과 2012년 1월 1일부로 금속제련기술사로 통합되었습니다.1974년 금속기술사(비철야금)으로 신설(대통령령 제7283호 1974.10.16)--> 1991년 비철야금기술사로 변경(대통령령 제13494호 1991.10.31),한국산업인력공단,교육과학기술부,비철야금기술사,None,금속.재료,기술사,None,None
