id,licenseSeries,licenseSeriesName,licenseCode,licenseName,ncsCategoryCode1,ncsCategoryName1,ncsCategoryCode2,ncsCategoryName2
100,None,None,9997,목구조관리기술자,23,인쇄 목재 가구 공예,232,목재 가구 공예
101,None,None,9998,목구조시공기술자,23,인쇄 목재 가구 공예,232,목재 가구 공예
102,1,1,11,용접기술사,17,재료,174,용접
103,1,1,12,금형기술사,16,기계,167,금형 공작기계
104,1,1,50,차량기술사,16,기계,166,자동차
105,1,1,60,산업기계설비기술사,16,기계,162,기계장비설비 설치
106,1,1,71,공조냉동기계기술사,16,기계,162,기계장비설비 설치
107,1,1,80,건설기계기술사,16,기계,162,기계장비설비 설치
108,1,1,94,금속제련기술사,17,재료,171,금속 재료
109,1,1,110,금속재료기술사,17,재료,171,금속 재료
110,1,1,120,표면처리기술사,17,재료,175,도장 도금
111,1,1,130,금속가공기술사,17,재료,171,금속 재료
112,1,1,210,화공기술사,18,화학,181,화공
113,1,1,230,발송배전기술사,20,전기 전자,201,전기
114,1,1,250,전기응용기술사,20,전기 전자,201,전기
115,1,1,261,철도신호기술사,20,전기 전자,201,전기
116,1,1,270,산업계측제어기술사,20,전기 전자,202,전자
117,1,1,301,전자응용기술사,20,전기 전자,202,전자
118,1,1,320,조선기술사,16,기계,164,조선
119,1,1,360,항공기체기술사,16,기계,165,항공
120,1,1,370,항공기관기술사,16,기계,165,항공
121,1,1,390,토질및기초기술사,14,건설,142,토목
122,1,1,400,토목구조기술사,14,건설,142,토목
123,1,1,410,항만및해안기술사,14,건설,142,토목
124,1,1,420,도로및공항기술사,14,건설,142,토목
125,1,1,430,철도기술사,14,건설,142,토목
126,1,1,431,철도차량기술사,16,기계,163,철도
127,1,1,432,전기철도기술사,20,전기 전자,201,전기
128,1,1,451,수자원개발기술사,14,건설,142,토목
129,1,1,460,상하수도기술사,14,건설,142,토목
130,1,1,470,농어업토목기술사,14,건설,142,토목
131,1,1,480,토목시공기술사,14,건설,142,토목
132,1,1,481,토목품질시험기술사,14,건설,142,토목
133,None,None,482,전산회계운용사 1급,2,경영 회계 사무,22,회계
134,1,1,490,건축구조기술사,14,건설,141,건축
135,None,None,492,컴퓨터활용능력1급,2,경영 회계 사무,23,사무
136,1,1,501,건축기계설비기술사,14,건설,141,건축
137,1,1,502,건축전기설비기술사,20,전기 전자,201,전기
138,1,1,510,건축시공기술사,14,건설,141,건축
139,1,1,511,건축품질시험기술사,14,건설,141,건축
140,1,1,551,섬유기술사,19,섬유 의복,191,섬유
141,1,1,561,의류기술사,19,섬유 의복,191,섬유
142,1,1,570,자원관리기술사,15,광업자원,151,채광
143,1,1,575,광해방지기술사,15,광업자원,152,광해방지
144,1,1,591,화약류관리기술사,15,광업자원,151,채광
145,1,1,601,정보관리기술사,21,정보통신,211,정보기술
146,1,1,622,컴퓨터시스템응용기술사,21,정보통신,211,정보기술
147,1,1,650,도시계획기술사,14,건설,144,도시 교통
148,1,1,670,조경기술사,14,건설,143,조경
149,1,1,680,측량및지형공간정보기술사,14,건설,142,토목
150,1,1,690,지적기술사,14,건설,142,토목
151,1,1,700,해양기술사,14,건설,142,토목
152,1,1,701,수산양식기술사,24,농림어업,244,어업
153,1,1,702,어로기술사,24,농림어업,244,어업
154,1,1,710,기계안전기술사,25,안전관리,251,안전관리
155,1,1,720,화공안전기술사,25,안전관리,251,안전관리
156,1,1,730,전기안전기술사,25,안전관리,251,안전관리
157,1,1,740,건설안전기술사,25,안전관리,251,안전관리
158,1,1,750,소방기술사,25,안전관리,251,안전관리
159,1,1,751,산업위생관리기술사,25,안전관리,251,안전관리
160,1,1,752,가스기술사,25,안전관리,251,안전관리
161,1,1,760,공장관리기술사,2,경영 회계 사무,24,생산관리
162,1,1,770,품질관리기술사,2,경영 회계 사무,24,생산관리
163,1,1,780,포장기술사,2,경영 회계 사무,24,생산관리
164,1,1,790,세라믹기술사,17,재료,171,금속 재료
165,1,1,800,식품기술사,22,식품 가공,221,식품
166,1,1,801,산림기술사,24,농림어업,243,임업
167,1,1,802,비파괴검사기술사,25,안전관리,252,비파괴검사
168,1,1,810,수산제조기술사,22,식품 가공,221,식품
169,1,1,825,지질및지반기술사,14,건설,142,토목
170,1,1,840,종자기술사,24,농림어업,241,농업
171,1,1,841,시설원예기술사,24,농림어업,241,농업
172,1,1,851,축산기술사,24,농림어업,242,축산
173,1,1,872,기계기술사,16,기계,161,기계제작
174,1,1,875,인간공학기술사,25,안전관리,251,안전관리
175,1,1,891,기상예보기술사,26,환경 에너지,262,에너지 기상
176,1,1,920,대기관리기술사,26,환경 에너지,261,환경
177,1,1,930,수질관리기술사,26,환경 에너지,261,환경
178,1,1,938,자연환경관리기술사,26,환경 에너지,261,환경
179,1,1,940,소음진동기술사,26,환경 에너지,261,환경
180,1,1,948,토양환경기술사,26,환경 에너지,261,환경
181,1,1,950,농화학기술사,24,농림어업,241,농업
182,1,1,951,교통기술사,14,건설,144,도시 교통
183,1,1,960,제품디자인기술사,8,문화 예술 디자인 방송,82,디자인
184,1,1,970,폐기물처리기술사,26,환경 에너지,261,환경
185,3,3,1021,일반기계기사,16,기계,161,기계제작
186,3,3,1022,용접기사,17,재료,174,용접
187,3,3,1023,농업기계기사,16,기계,162,기계장비설비 설치
188,3,3,1024,사출금형설계기사,16,기계,167,금형 공작기계
189,3,3,1025,프레스금형설계기사,16,기계,167,금형 공작기계
190,3,3,1027,그린전동자동차기사,16,기계,166,자동차
191,3,3,1028,온실가스관리기사,26,환경 에너지,261,환경
192,3,3,1029,환경위해관리기사,26,환경 에너지,261,환경
193,3,3,1030,철도차량기사,16,기계,163,철도
194,3,3,1040,건설기계설비기사,16,기계,162,기계장비설비 설치
195,3,3,1048,콘크리트기사,14,건설,142,토목
196,3,3,1050,건설기계정비기사,16,기계,162,기계장비설비 설치
197,3,3,1051,궤도장비정비기사,16,기계,162,기계장비설비 설치
198,3,3,1060,메카트로닉스기사,16,기계,162,기계장비설비 설치
199,3,3,1070,자동차정비기사,16,기계,166,자동차
200,3,3,1080,기계설계기사,16,기계,161,기계제작
201,3,3,1104,금속재료기사,17,재료,171,금속 재료
202,3,3,1110,화공기사,18,화학,181,화공
203,3,3,1114,신재생에너지발전설비기사(태양광),26,환경 에너지,262,에너지 기상
204,3,3,1121,임베디드기사,20,전기 전자,202,전자
205,3,3,1130,화약류제조기사,18,화학,181,화공
206,3,3,1140,화약류관리기사,15,광업자원,151,채광
207,3,3,1150,전기기사,20,전기 전자,201,전기
208,3,3,1160,전기공사기사,20,전기 전자,201,전기
209,3,3,1170,전자기사,20,전기 전자,202,전자
210,3,3,1175,반도체설계기사,20,전기 전자,202,전자
211,3,3,1176,의공기사,20,전기 전자,202,전자
212,3,3,1177,로봇기구개발기사,20,전기 전자,202,전자
213,3,3,1178,로봇소프트웨어개발기사,20,전기 전자,202,전자
214,3,3,1179,로봇하드웨어개발기사,20,전기 전자,202,전자
215,3,3,1195,전파전자통신기사,21,정보통신,213,통신
216,3,3,1220,조선기사,16,기계,164,조선
217,3,3,1240,항공기사,16,기계,165,항공
218,3,3,1250,토목기사,14,건설,142,토목
219,3,3,1282,실내건축기사,14,건설,141,건축
220,3,3,1297,섬유기사,19,섬유 의복,191,섬유
221,3,3,1301,의류기사,19,섬유 의복,191,섬유
222,3,3,1320,정보처리기사,21,정보통신,211,정보기술
223,3,3,1321,전자계산기기사,20,전기 전자,202,전자
224,3,3,1322,전자계산기조직응용기사,21,정보통신,211,정보기술
225,3,3,1325,정보보안기사,21,정보통신,211,정보기술
226,3,3,1340,에너지관리기사,26,환경 에너지,262,에너지 기상
227,3,3,1350,도시계획기사,14,건설,144,도시 교통
228,3,3,1351,항로표지기사,14,건설,142,토목
229,3,3,1370,조경기사,14,건설,143,조경
230,3,3,1380,측량및지형공간정보기사,14,건설,142,토목
231,3,3,1390,지적기사,14,건설,142,토목
232,3,3,1391,인쇄기사,23,인쇄 목재 가구 공예,231,인쇄 사진
233,3,3,1401,해양환경기사,14,건설,142,토목
234,3,3,1402,해양자원개발기사,14,건설,142,토목
235,3,3,1403,해양공학기사,14,건설,142,토목
236,3,3,1431,산업안전기사,25,안전관리,251,안전관리
237,3,3,1440,건설안전기사,25,안전관리,251,안전관리
238,3,3,1441,화재감식평가기사,25,안전관리,251,안전관리
239,3,3,1442,농작업안전보건기사,25,안전관리,251,안전관리
240,3,3,1443,방재기사,25,안전관리,251,안전관리
241,3,3,1450,광산보안기사,15,광업자원,151,채광
242,3,3,1471,가스기사,25,안전관리,251,안전관리
243,3,3,1472,산업위생관리기사,25,안전관리,251,안전관리
244,3,3,1500,품질경영기사,2,경영 회계 사무,24,생산관리
245,3,3,1511,포장기사,2,경영 회계 사무,24,생산관리
246,3,3,1512,제품디자인기사,8,문화 예술 디자인 방송,82,디자인
247,3,3,1513,광학기사,20,전기 전자,202,전자
248,3,3,1530,식품기사,22,식품 가공,221,식품
249,3,3,1540,수산제조기사,22,식품 가공,221,식품
250,3,3,1541,식육가공기사,22,식품 가공,221,식품
251,3,3,1550,응용지질기사,14,건설,142,토목
252,3,3,1555,승강기기사,16,기계,162,기계장비설비 설치
253,3,3,1560,종자기사,24,농림어업,241,농업
254,3,3,1562,식물보호기사,24,농림어업,243,임업
255,3,3,1563,화학분석기사,18,화학,181,화공
256,3,3,1564,산림기사,24,농림어업,243,임업
257,3,3,1570,임업종묘기사,24,농림어업,243,임업
258,3,3,1575,광해방지기사,15,광업자원,152,광해방지
259,3,3,1576,화훼장식기사,24,농림어업,241,농업
260,3,3,1581,축산기사,24,농림어업,242,축산
261,3,3,1590,임산가공기사,24,농림어업,243,임업
262,3,3,1592,유기농업기사,24,농림어업,241,농업
263,3,3,1600,기상기사,26,환경 에너지,262,에너지 기상
264,3,3,1601,기상감정기사,26,환경 에너지,262,에너지 기상
265,3,3,1611,방사선비파괴검사기사,25,안전관리,252,비파괴검사
266,3,3,1612,초음파비파괴검사기사,25,안전관리,252,비파괴검사
267,3,3,1613,자기비파괴검사기사,25,안전관리,252,비파괴검사
268,3,3,1614,침투비파괴검사기사,25,안전관리,252,비파괴검사
269,3,3,1615,와전류비파괴검사기사,25,안전관리,252,비파괴검사
270,3,3,1617,누설비파괴검사기사,25,안전관리,252,비파괴검사
271,3,3,1625,수산양식기사,24,농림어업,244,어업
272,3,3,1630,건축기사,14,건설,141,건축
273,3,3,1632,건축설비기사,14,건설,141,건축
274,3,3,1633,어업생산관리기사,24,농림어업,244,어업
275,3,3,1641,버섯산업기사,24,농림어업,243,임업
276,3,3,1661,대기환경기사,26,환경 에너지,261,환경
277,3,3,1662,수질환경기사,26,환경 에너지,261,환경
278,3,3,1663,소음진동기사,26,환경 에너지,261,환경
279,3,3,1730,공조냉동기계기사,16,기계,162,기계장비설비 설치
280,3,3,1740,철도신호기사,20,전기 전자,201,전기
281,3,3,1741,전기철도기사,20,전기 전자,201,전기
282,3,3,1750,건설재료시험기사,14,건설,142,토목
283,3,3,1751,교통기사,14,건설,144,도시 교통
284,3,3,1760,철도토목기사,14,건설,142,토목
285,3,3,1780,시설원예기사,24,농림어업,241,농업
286,3,3,1790,시각디자인기사,8,문화 예술 디자인 방송,82,디자인
287,3,3,1800,바이오화학제품제조기사,18,화학,181,화공
288,3,3,1837,설비보전기사,16,기계,162,기계장비설비 설치
289,3,3,1875,인간공학기사,25,안전관리,251,안전관리
290,3,3,1900,소방설비기사(기계분야),25,안전관리,251,안전관리
291,3,3,1910,소방설비기사(전기분야),25,안전관리,251,안전관리
292,3,3,1938,자연생태복원기사,26,환경 에너지,261,환경
293,3,3,1948,토양환경기사,26,환경 에너지,261,환경
294,3,3,1950,폐기물처리기사,26,환경 에너지,261,환경
295,3,3,1982,컬러리스트기사,8,문화 예술 디자인 방송,82,디자인
296,3,3,1988,생물분류기사(식물),26,환경 에너지,261,환경
297,3,3,1989,생물분류기사(동물),26,환경 에너지,261,환경
298,3,3,2011,기계조립산업기사,16,기계,161,기계제작
299,3,3,2012,판금제관산업기사,17,재료,172,판금 제관 새시
300,3,3,2025,컴퓨터응용가공산업기사,16,기계,161,기계제작
301,3,3,2026,용접산업기사,17,재료,174,용접
302,3,3,2027,농업기계산업기사,16,기계,162,기계장비설비 설치
303,3,3,2028,사출금형산업기사,16,기계,167,금형 공작기계
304,3,3,2029,프레스금형산업기사,16,기계,167,금형 공작기계
305,3,3,2030,철도차량산업기사,16,기계,163,철도
306,3,3,2031,기계설계산업기사,16,기계,161,기계제작
307,3,3,2034,생산자동화산업기사,16,기계,162,기계장비설비 설치
308,3,3,2035,기계정비산업기사,16,기계,162,기계장비설비 설치
309,3,3,2036,전기철도산업기사,20,전기 전자,201,전기
310,3,3,2037,온실가스관리산업기사,26,환경 에너지,261,환경
311,3,3,2040,건설기계설비산업기사,16,기계,162,기계장비설비 설치
312,3,3,2041,배관산업기사,14,건설,145,건설배관
313,3,3,2045,철도운송산업기사,9,운전 운송,91,운전 운송
314,3,3,2047,영사산업기사,8,문화 예술 디자인 방송,83,방송
315,3,3,2048,콘크리트산업기사,14,건설,142,토목
316,3,3,2050,건설기계정비산업기사,16,기계,162,기계장비설비 설치
317,3,3,2051,궤도장비정비산업기사,16,기계,162,기계장비설비 설치
318,3,3,2070,자동차정비산업기사,16,기계,166,자동차
319,3,3,2085,패션머천다이징산업기사,19,섬유 의복,192,의복
320,3,3,2090,치공구설계산업기사,16,기계,161,기계제작
321,3,3,2101,금속재료산업기사,17,재료,171,금속 재료
322,3,3,2104,정밀측정산업기사,16,기계,161,기계제작
323,3,3,2105,주조산업기사,17,재료,173,단조 주조
324,3,3,2106,표면처리산업기사,17,재료,175,도장 도금
325,3,3,2107,재료조직평가산업기사,17,재료,171,금속 재료
326,3,3,2108,광학기기산업기사,20,전기 전자,202,전자
327,3,3,2114,신재생에너지발전설비산업기사(태양광),26,환경 에너지,262,에너지 기상
328,3,3,2120,화약류제조산업기사,18,화학,181,화공
329,3,3,2121,위험물산업기사,18,화학,182,위험물
330,3,3,2130,화약류관리산업기사,15,광업자원,151,채광
331,3,3,2135,광산보안산업기사,15,광업자원,151,채광
332,3,3,2140,전기산업기사,20,전기 전자,201,전기
333,3,3,2142,가구제작산업기사,23,인쇄 목재 가구 공예,232,목재 가구 공예
334,3,3,2150,전기공사산업기사,20,전기 전자,201,전기
335,3,3,2160,철도신호산업기사,20,전기 전자,201,전기
336,3,3,2170,전자산업기사,20,전기 전자,202,전자
337,3,3,2175,반도체설계산업기사,20,전기 전자,202,전자
338,3,3,2176,의공산업기사,20,전기 전자,202,전자
339,3,3,2177,3D프린터개발산업기사,20,전기 전자,202,전자
340,3,3,2193,사무자동화산업기사,21,정보통신,211,정보기술
341,3,3,2195,전파전자통신산업기사,21,정보통신,213,통신
342,3,3,2220,조선산업기사,16,기계,164,조선
343,3,3,2230,항공산업기사,16,기계,165,항공
344,3,3,2240,토목산업기사,14,건설,142,토목
345,3,3,2251,건축일반시공산업기사,14,건설,141,건축
346,3,3,2253,건축목공산업기사,14,건설,141,건축
347,3,3,2264,섬유디자인산업기사,19,섬유 의복,191,섬유
348,3,3,2268,한복산업기사,19,섬유 의복,192,의복
349,3,3,2277,섬유산업기사,19,섬유 의복,191,섬유
350,3,3,2282,실내건축산업기사,14,건설,141,건축
351,3,3,2290,정보처리산업기사,21,정보통신,211,정보기술
352,3,3,2301,패션디자인산업기사,19,섬유 의복,192,의복
353,3,3,2302,신발산업기사,19,섬유 의복,192,의복
354,3,3,2320,조경산업기사,14,건설,143,조경
355,3,3,2324,전자계산기제어산업기사,20,전기 전자,202,전자
356,3,3,2325,정보보안산업기사,21,정보통신,211,정보기술
357,3,3,2330,측량및지형공간정보산업기사,14,건설,142,토목
358,3,3,2340,지적산업기사,14,건설,142,토목
359,3,3,2350,해양조사산업기사,14,건설,142,토목
360,3,3,2351,항로표지산업기사,14,건설,142,토목
361,3,3,2381,산업안전산업기사,25,안전관리,251,안전관리
362,3,3,2390,건설안전산업기사,25,안전관리,251,안전관리
363,3,3,2391,인쇄산업기사,23,인쇄 목재 가구 공예,231,인쇄 사진
364,3,3,2395,승강기산업기사,16,기계,162,기계장비설비 설치
365,3,3,2420,품질경영산업기사,2,경영 회계 사무,24,생산관리
366,3,3,2431,포장산업기사,2,경영 회계 사무,24,생산관리
367,3,3,2432,제품디자인산업기사,8,문화 예술 디자인 방송,82,디자인
368,3,3,2434,시각디자인산업기사,8,문화 예술 디자인 방송,82,디자인
369,3,3,2441,화재감식평가산업기사,25,안전관리,251,안전관리
370,3,3,2450,식품산업기사,22,식품 가공,221,식품
371,3,3,2470,종자산업기사,24,농림어업,241,농업
372,3,3,2471,가스산업기사,25,안전관리,251,안전관리
373,3,3,2472,산업위생관리산업기사,25,안전관리,251,안전관리
374,3,3,2481,산림산업기사,24,농림어업,243,임업
375,3,3,2491,축산산업기사,24,농림어업,242,축산
376,3,3,2500,임산가공산업기사,24,농림어업,243,임업
377,3,3,2520,수산양식산업기사,24,농림어업,244,어업
378,3,3,2521,잠수산업기사,14,건설,142,토목
379,3,3,2530,건축산업기사,14,건설,141,건축
380,3,3,2531,건축설비산업기사,14,건설,141,건축
381,3,3,2551,피아노조율산업기사,23,인쇄 목재 가구 공예,232,목재 가구 공예
382,3,3,2562,식물보호산업기사,24,농림어업,243,임업
383,3,3,2570,바이오화학제품제조산업기사,18,화학,181,화공
384,3,3,2571,대기환경산업기사,26,환경 에너지,261,환경
385,3,3,2572,수질환경산업기사,26,환경 에너지,261,환경
386,3,3,2573,소음진동산업기사,26,환경 에너지,261,환경
387,3,3,2582,농림토양평가관리산업기사,26,환경 에너지,261,환경
388,3,3,2590,공조냉동기계산업기사,16,기계,162,기계장비설비 설치
389,3,3,2592,유기농업산업기사,24,농림어업,241,농업
390,3,3,2600,건설재료시험산업기사,14,건설,142,토목
391,3,3,2610,철도토목산업기사,14,건설,142,토목
392,3,3,2611,방사선비파괴검사산업기사,25,안전관리,252,비파괴검사
393,3,3,2612,초음파비파괴검사산업기사,25,안전관리,252,비파괴검사
394,3,3,2613,자기비파괴검사산업기사,25,안전관리,252,비파괴검사
395,3,3,2614,침투비파괴검사산업기사,25,안전관리,252,비파괴검사
396,3,3,2625,화훼장식산업기사,24,농림어업,241,농업
397,3,3,2630,방수산업기사,14,건설,141,건축
398,3,3,2631,어로산업기사,24,농림어업,244,어업
399,3,3,2751,교통산업기사,14,건설,144,도시 교통
400,3,3,2760,귀금속가공산업기사,23,인쇄 목재 가구 공예,232,목재 가구 공예
401,3,3,2835,전자부품장착산업기사,16,기계,162,기계장비설비 설치
402,3,3,2880,보석디자인산업기사,23,인쇄 목재 가구 공예,232,목재 가구 공예
403,3,3,2900,소방설비산업기사(기계분야),25,안전관리,251,안전관리
404,3,3,2910,소방설비산업기사(전기분야),25,안전관리,251,안전관리
405,3,3,2938,자연생태복원산업기사,26,환경 에너지,261,환경
406,3,3,2950,폐기물처리산업기사,26,환경 에너지,261,환경
407,3,3,2960,에너지관리산업기사,26,환경 에너지,262,에너지 기상
408,3,3,2971,한식조리산업기사,13,음식서비스,131,조리
409,3,3,2972,양식조리산업기사,13,음식서비스,131,조리
410,3,3,2973,일식조리산업기사,13,음식서비스,131,조리
411,3,3,2974,중식조리산업기사,13,음식서비스,131,조리
412,3,3,2975,복어조리산업기사,13,음식서비스,131,조리
413,3,3,2980,보석감정산업기사,23,인쇄 목재 가구 공예,232,목재 가구 공예
414,3,3,2982,컬러리스트산업기사,8,문화 예술 디자인 방송,82,디자인
415,2,2,3021,기계가공기능장,16,기계,161,기계제작
416,2,2,3061,금형제작기능장,16,기계,167,금형 공작기계
417,2,2,3081,배관기능장,14,건설,145,건설배관
418,2,2,3095,판금제관기능장,17,재료,172,판금 제관 새시
419,2,2,3100,용접기능장,17,재료,174,용접
420,2,2,3110,자동차정비기능장,16,기계,166,자동차
421,2,2,3120,건설기계정비기능장,16,기계,162,기계장비설비 설치
422,2,2,3150,철도차량정비기능장,16,기계,163,철도
423,2,2,3170,에너지관리기능장,26,환경 에너지,262,에너지 기상
424,2,2,3200,주조기능장,17,재료,173,단조 주조
425,2,2,3210,표면처리기능장,17,재료,175,도장 도금
426,2,2,3221,금속재료기능장,17,재료,171,금속 재료
427,2,2,3230,제선기능장,17,재료,171,금속 재료
428,2,2,3240,제강기능장,17,재료,171,금속 재료
429,2,2,3270,압연기능장,17,재료,171,금속 재료
430,2,2,3360,위험물기능장,18,화학,182,위험물
431,2,2,3375,가스기능장,25,안전관리,251,안전관리
432,2,2,3380,전기기능장,20,전기 전자,201,전기
433,2,2,3410,전자기기기능장,20,전기 전자,202,전자
434,2,2,3611,건축목재시공기능장,14,건설,141,건축
435,2,2,3621,건축일반시공기능장,14,건설,141,건축
436,2,2,3770,귀금속가공기능장,23,인쇄 목재 가구 공예,232,목재 가구 공예
437,2,2,3911,잠수기능장,14,건설,142,토목
438,2,2,3922,조리기능장,13,음식서비스,131,조리
439,2,2,3923,제과기능장,22,식품 가공,222,제과 제빵
440,2,2,3924,미용장,12,이용 숙박 여행 오락 스포츠,121,이용 미용
441,2,2,3925,이용장,12,이용 숙박 여행 오락 스포츠,121,이용 미용
442,4,4,6012,컴퓨터응용선반기능사,16,기계,161,기계제작
443,4,4,6032,컴퓨터응용밀링기능사,16,기계,161,기계제작
444,4,4,6033,반도체장비유지보수기능사,16,기계,162,기계장비설비 설치
445,4,4,6040,연삭기능사,16,기계,161,기계제작
446,4,4,6042,기계가공조립기능사,16,기계,161,기계제작
447,4,4,6051,궤도장비정비기능사,16,기계,162,기계장비설비 설치
448,4,4,6105,금형기능사,16,기계,167,금형 공작기계
449,4,4,6120,정밀측정기능사,16,기계,161,기계제작
450,4,4,6151,전산응용기계제도기능사,16,기계,161,기계제작
451,4,4,6175,판금제관기능사,17,재료,172,판금 제관 새시
452,4,4,6176,의료전자기능사,20,전기 전자,202,전자
453,4,4,6213,배관기능사,14,건설,145,건설배관
454,4,4,6222,특수용접기능사,17,재료,174,용접
455,4,4,6223,용접기능사,17,재료,174,용접
456,4,4,6251,공유압기능사,16,기계,161,기계제작
457,4,4,6281,자동차정비기능사,16,기계,166,자동차
458,4,4,6285,자동차차체수리기능사,16,기계,166,자동차
459,4,4,6291,항공기체정비기능사,16,기계,165,항공
460,4,4,6292,항공기관정비기능사,16,기계,165,항공
461,4,4,6293,항공장비정비기능사,16,기계,165,항공
462,4,4,6294,항공전자정비기능사,16,기계,165,항공
463,4,4,6298,건설기계정비기능사,16,기계,162,기계장비설비 설치
464,4,4,6300,농기계정비기능사,16,기계,162,기계장비설비 설치
465,4,4,6301,농기계운전기능사,9,운전 운송,91,운전 운송
466,4,4,6320,공조냉동기계기능사,16,기계,162,기계장비설비 설치
467,4,4,6335,가스기능사,25,안전관리,251,안전관리
468,4,4,6351,항로표지기능사,14,건설,142,토목
469,4,4,6352,철도차량정비기능사,16,기계,163,철도
470,4,4,6381,축로기능사,17,재료,171,금속 재료
471,4,4,6415,생산자동화기능사,16,기계,162,기계장비설비 설치
472,4,4,6420,열처리기능사,17,재료,171,금속 재료
